[2026-06-28 00:11:27,378] 1025 - httpx - INFO- HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[2026-06-28 00:11:28,168] 1025 - httpx - INFO- HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[2026-06-28 00:11:28,943] 1025 - httpx - INFO- HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-28 00:11:28,963] 107 - dagshub - INFO- Accessing as nainaaa1105
[2026-06-28 00:11:29,868] 1025 - httpx - INFO- HTTP Request: GET https://dagshub.com/api/v1/repos/nainaaa1105/networksecurity "HTTP/1.1 200 OK"
[2026-06-28 00:11:30,655] 1025 - httpx - INFO- HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[2026-06-28 00:11:30,669] 107 - dagshub - INFO- Initialized MLflow to track repo "nainaaa1105/networksecurity"
[2026-06-28 00:11:30,676] 107 - dagshub - INFO- Repository nainaaa1105/networksecurity initialized!
[2026-06-28 00:11:30,989] 19 - root - INFO- Initiating data ingestion
[2026-06-28 00:11:34,717] 68 - root - INFO- Performed train test split on the data
[2026-06-28 00:11:34,718] 69 - root - INFO- Exited the split_data_as_train_test method of Data_Ingestion class
[2026-06-28 00:11:34,718] 74 - root - INFO- Exporting train and test file path
[2026-06-28 00:11:34,789] 77 - root - INFO- Exported train and test file path.
[2026-06-28 00:11:34,790] 21 - root - INFO- Data ingestion completed
[2026-06-28 00:11:34,830] 40 - root - INFO- Required number of columns:31
[2026-06-28 00:11:34,831] 41 - root - INFO- Data frame has columns:31
[2026-06-28 00:11:34,831] 40 - root - INFO- Required number of columns:31
[2026-06-28 00:11:34,831] 41 - root - INFO- Data frame has columns:31
[2026-06-28 00:11:35,164] 25 - root - INFO- Data validation completed
[2026-06-28 00:11:35,165] 26 - root - INFO- Data transformation started
[2026-06-28 00:11:35,165] 55 - root - INFO- Entered the initiate_data_transformation method of DataTransformation class
[2026-06-28 00:11:35,165] 57 - root - INFO- Starting data transformation
[2026-06-28 00:11:35,216] 45 - root - INFO- Entered the get_data_transformer_object method of DataTransformation class
[2026-06-28 00:11:35,217] 48 - root - INFO- Initialise KNNImputer with {'n_neighbors': 3, 'weights': 'uniform', 'missing_values': nan}
[2026-06-28 00:11:35,259] 46 - root - INFO- Entered the save_object method of MainUtils class
[2026-06-28 00:11:35,269] 50 - root - INFO- Exited the save_object method of MainUtils class
[2026-06-28 00:11:35,271] 30 - root - INFO- Data transformation completed
[2026-06-28 00:11:35,271] 32 - root - INFO- Model Training started
[2026-06-28 00:19:32,438] 46 - root - INFO- Entered the save_object method of MainUtils class
[2026-06-28 00:19:32,483] 50 - root - INFO- Exited the save_object method of MainUtils class
[2026-06-28 00:19:32,484] 46 - root - INFO- Entered the save_object method of MainUtils class
[2026-06-28 00:19:32,515] 50 - root - INFO- Exited the save_object method of MainUtils class
[2026-06-28 00:19:32,516] 165 - root - INFO- Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_28_2026_00_10_54\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9906278343242971, precision_score=0.9883370199075006, recall_score=0.9929292929292929), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9722796855606123, precision_score=0.9710743801652892, recall_score=0.9734879867439934))
[2026-06-28 00:19:32,536] 37 - root - INFO- Model Training artifact created
